src,dst
0,4
0,48
0,70
0,75
0,80
0,86
0,99
0,101
0,146
0,186
0,191
0,198
0,226
0,242
0,246
0,259
0,261
0,269
0,311
0,319
0,321
0,334
0,361
0,398
1,34
1,38
1,56
1,92
1,93
1,112
1,122
1,144
1,189
1,192
1,219
1,283
1,368
2,0
2,23
2,36
2,41
2,44
2,47
2,142
2,156
2,165
2,169
2,199
2,274
2,301
2,320
2,335
2,384
2,387
3,7
3,11
3,35
3,50
3,51
3,105
3,127
3,139
3,213
3,259
3,339
3,341
3,343
3,372
3,377
4,6
4,42
4,47
4,75
4,82
4,93
4,115
4,117
4,119
4,132
4,144
4,166
4,212
4,214
4,224
4,236
4,307
4,354
4,373
4,398
5,32
5,66
5,70
5,103
5,120
5,158
5,159
5,164
5,225
5,324
5,325
5,364
5,380
5,391
5,394
6,19
6,119
6,156
6,167
6,177
6,178
6,198
6,212
6,213
6,232
6,234
6,257
6,281
6,301
6,362
6,365
7,35
7,80
7,89
7,155
7,166
7,217
7,312
7,346
7,355
7,371
8,4
8,9
8,30
8,42
8,54
8,71
8,79
8,84
8,110
8,132
8,151
8,153
8,167
8,196
8,198
8,236
8,252
8,264
8,275
8,283
8,307
8,350
8,355
8,360
8,373
9,4
9,6
9,8
9,14
9,23
9,42
9,61
9,82
9,91
9,93
9,117
9,119
9,167
9,214
9,226
9,228
9,234
9,252
9,284
9,307
9,340
9,396
10,186
10,188
10,195
10,328
10,374
10,381
10,387
11,89
11,180
11,217
11,225
11,228
11,261
12,79
12,104
12,129
12,155
12,166
12,187
12,205
12,242
12,255
12,274
12,287
12,306
12,310
12,326
12,331
12,337
12,349
12,350
12,390
12,392
13,19
13,47
13,75
13,84
13,118
13,119
13,212
13,214
13,224
13,257
13,270
13,301
13,303
13,321
13,330
13,348
13,353
13,354
13,362
13,363
13,370
13,376
13,387
14,27
14,42
14,44
14,48
14,50
14,108
14,116
14,119
14,133
14,162
14,175
14,194
14,214
14,217
14,228
14,231
14,258
14,270
14,271
14,273
14,298
14,304
14,382
14,396
15,35
15,56
15,69
15,96
15,116
15,139
15,146
15,217
15,223
15,229
15,239
15,265
15,266
15,375
15,383
16,87
16,97
16,106
16,347
16,357
16,382
17,6
17,39
17,58
17,76
17,114
17,125
17,163
17,177
17,183
17,219
17,248
17,254
17,301
17,311
17,314
17,335
17,338
17,361
17,364
17,395
18,14
18,86
18,92
18,117
18,125
18,133
18,135
18,137
18,170
18,183
18,192
18,200
18,259
18,345
18,353
18,363
19,2
19,6
19,23
19,82
19,138
19,178
19,203
19,247
19,264
19,269
19,323
19,326
19,331
19,345
20,185
20,193
20,220
20,234
20,280
20,292
20,315
21,23
21,110
21,126
21,128
21,132
21,140
21,141
21,154
21,214
21,216
21,222
21,228
21,229
21,231
21,304
21,311
21,332
21,353
21,357
21,359
21,360
22,25
22,56
22,57
22,85
22,86
22,92
22,105
22,121
22,122
22,127
22,161
22,169
22,177
22,180
22,183
22,211
22,213
22,225
22,227
22,241
22,283
22,291
22,314
22,319
22,335
22,392
22,395
23,2
23,4
23,6
23,25
23,39
23,41
23,44
23,57
23,75
23,84
23,87
23,93
23,117
23,118
23,119
23,122
23,142
23,144
23,156
23,176
23,178
23,185
23,200
23,209
23,222
23,224
23,234
23,236
23,269
23,295
23,307
23,309
23,345
23,362
23,370
23,387
23,390
24,76
24,87
24,106
24,133
24,141
24,228
24,253
24,296
24,341
24,382
25,18
25,22
25,32
25,38
25,41
25,48
25,57
25,76
25,86
25,93
25,114
25,127
25,131
25,163
25,254
25,259
25,263
25,283
25,314
25,325
25,348
25,356
25,363
25,364
25,380
25,389
25,391
26,1
26,25
26,34
26,41
26,56
26,57
26,58
26,64
26,66
26,92
26,122
26,145
26,161
26,174
26,177
26,219
26,227
26,246
26,282
26,283
26,284
26,300
26,303
26,308
26,319
26,338
26,364
26,369
26,391
26,395
27,44
27,51
27,56
27,108
27,116
27,179
27,197
27,217
27,258
27,265
27,268
27,271
27,279
27,340
27,359
28,62
28,185
28,399
29,3
29,7
29,35
29,43
29,49
29,50
29,51
29,53
29,80
29,142
29,148
29,154
29,219
29,223
29,228
29,268
29,286
29,299
29,372
29,377
30,33
30,49
30,53
30,63
30,73
30,88
30,162
30,176
30,197
30,203
30,235
30,244
30,269
30,296
30,306
30,310
30,312
30,322
30,326
30,349
30,350
31,82
31,96
31,153
31,176
31,231
31,294
31,355
32,5
32,25
32,48
32,55
32,61
32,94
32,158
32,180
32,227
32,233
32,259
32,311
32,325
32,328
32,334
32,364
32,380
32,385
32,391
33,30
33,58
33,104
33,121
33,156
33,170
33,171
33,210
33,262
33,284
33,300
34,33
34,61
34,63
34,80
34,89
34,108
34,152
