makespan,sum_of_cost,sum_of_loss
48,746,718
48,744,714
48,762,712
48,793,725
48,745,706
48,761,721
48,743,722
48,751,719
48,767,710
48,768,712
48,727,704
50,767,717
48,722,704
48,742,712
48,717,700
48,762,718
48,786,710
48,711,695
48,752,716
48,770,728
48,747,707
48,734,702
48,734,698
53,770,726
48,719,707
48,777,724
50,747,718
48,750,710
48,807,733
48,724,701
48,758,720
48,734,710
48,740,718
48,755,704
48,740,714
48,753,712
48,743,716
48,746,713
48,742,710
48,758,714
48,751,708
48,747,707
48,749,712
48,749,723
48,713,703
48,743,703
51,734,713
48,740,718
48,716,707
50,740,714
48,751,712
48,726,706
48,745,717
48,739,720
48,736,703
48,738,705
48,763,734
48,736,702
48,724,717
48,754,727
48,764,715
53,784,727
48,755,712
48,737,698
48,720,705
48,759,708
48,762,723
48,745,714
48,715,697
48,739,711
48,760,716
48,754,707
53,759,719
48,769,725
48,765,730
48,758,714
48,739,713
48,735,712
48,732,711
48,744,712
51,731,703
48,742,711
48,741,703
48,714,701
48,725,705
48,702,691
48,759,715
48,726,695
48,738,706
48,762,715
48,746,705
48,732,708
49,762,726
48,732,710
48,757,717
48,745,721
48,737,718
48,730,703
48,760,718
48,733,711
48,729,705
48,757,716
48,737,700
48,756,716
48,740,704
48,719,705
48,729,702
48,736,705
48,749,723
48,746,713
48,745,711
48,755,715
50,777,721
48,738,708
48,738,703
48,730,713
48,742,709
48,739,702
48,716,696
48,741,713
48,748,716
48,757,729
48,746,726
48,735,715
48,737,711
48,749,704
50,749,704
48,761,715
48,726,705
48,726,704
48,738,704
53,762,727
48,750,718
48,750,709
48,720,700
48,747,726
48,728,701
48,787,717
48,741,710
48,782,735
48,768,730
48,736,712
48,780,735
48,726,702
48,761,716
48,748,714
48,778,731
48,709,697
48,735,714
48,734,710
48,742,712
48,761,724
48,749,710
48,741,710
48,727,706
48,764,712
48,728,701
48,742,714
48,748,710
48,725,706
48,784,738
48,747,704
48,760,712
48,767,724
48,736,705
48,772,716
50,741,715
48,753,718
48,745,709
48,754,709
48,720,699
48,762,714
48,730,701
48,733,710
48,723,706
48,740,717
48,739,704
48,754,731
48,715,704
48,733,710
48,754,715
48,759,712
48,738,716
50,727,709
51,742,716
48,734,712
48,762,719
50,761,713
48,729,707
48,781,733
48,715,695
48,727,705
48,744,717
48,779,732
48,779,724
48,819,738
48,753,706
48,762,711
48,736,707
53,786,731
48,746,713
48,713,693
48,745,715
48,747,714
48,737,706
48,742,706
48,735,706
48,773,723
48,745,719
48,739,709
48,741,700
48,756,713
48,759,709
48,715,701
48,779,721
48,716,701
48,743,705
48,737,706
48,768,710
48,765,710
48,724,698
48,780,718
48,751,718
48,740,710
48,753,709
48,752,719
48,731,716
49,741,711
48,755,716
48,744,717
48,722,700
48,760,710
48,721,696
48,736,717
48,743,718
48,745,713
48,778,728
48,765,716
48,771,726
48,731,714
48,760,732
48,726,708
48,729,696
48,746,705
54,727,714
48,759,722
48,730,700
48,765,717
48,776,716
48,754,709
48,748,706
48,752,713
48,736,722
48,768,725
48,741,701
48,750,717
48,754,710
48,776,723
48,771,726
48,758,715
48,733,708
48,746,719
48,733,705
48,743,708
48,708,695
48,749,709
48,766,739
48,776,720
48,739,707
48,785,723
48,710,695
48,769,718
48,741,724
48,769,728
48,745,713
48,729,704
48,735,710
48,738,715
48,731,706
48,733,706
48,731,715
48,717,700
50,763,722
48,760,713
48,752,707
48,743,715
48,777,716
48,737,712
48,729,707
48,760,711
48,755,713
48,762,703
48,721,699
48,737,699
48,752,713
48,721,705
48,741,701
51,744,715
48,753,712
48,761,716
48,750,714
48,736,719
53,789,720
48,711,696
48,752,711
48,752,707
50,765,719
48,750,721
48,729,705
48,715,705
48,741,717
48,747,718
48,732,709
48,743,705
48,772,728
48,722,714
48,754,713
48,722,704
50,763,718
51,736,713
48,763,717
48,749,716
48,743,706
48,735,706
48,787,725
48,734,710
48,776,718
48,772,730
48,774,714
50,733,705
48,732,710
48,738,711
50,794,725
48,732,701
48,753,710
48,761,716
48,729,699
48,763,714
50,732,712
48,734,703
51,717,698
48,721,697
48,747,719
48,731,703
48,748,708
48,772,720
48,726,706
48,768,723
48,741,705
48,775,717
51,798,723
48,767,724
48,740,705
48,715,695
48,719,707
48,738,709
48,750,712
48,722,700
48,753,712
48,762,721
48,755,714
48,742,708
48,731,705
48,731,701
48,777,723
48,759,715
48,759,714
48,758,715
48,736,707
48,713,698
48,747,717
48,755,724
48,739,712
48,725,712
48,776,709
48,735,708
48,760,706
48,741,718
48,748,723
48,747,712
48,758,727
48,745,707
48,765,711
48,758,729
48,771,724
50,766,724
48,779,715
48,717,698
48,717,698
48,739,709
51,731,712
48,717,698
48,751,722
48,754,717
48,761,722
48,749,716
48,744,713
48,734,717
48,746,716
48,772,719
48,720,708
50,743,715
48,726,711
48,721,704
48,737,713
48,734,717
48,736,716
48,776,734
48,724,703
48,776,720
48,755,716
48,730,712
48,740,705
48,781,726
48,725,712
48,722,701
48,747,717
48,758,723
48,732,712
48,730,706
48,722,700
51,740,701
48,726,708
50,716,703
49,734,709
48,765,722
48,792,733
48,739,706
51,748,716
50,763,716
48,734,713
48,739,719
49,742,725
48,747,719
48,754,709
48,731,702
48,769,717
48,726,708
48,762,715
48,734,708
48,761,721
48,733,710
48,721,704
48,748,712
48,726,716
48,751,708
48,760,706
48,743,713
48,728,707
48,752,713
48,714,696
48,727,711
51,765,706
48,764,719
51,741,710
48,724,702
48,781,728
48,735,713
48,731,698
48,766,724
48,771,710
48,757,716
48,740,712
48,755,711
48,749,713
48,748,724
48,760,721
48,774,721
48,746,711
48,730,703
48,732,711
48,738,707
48,740,708
48,735,699
48,775,714
51,724,712
48,760,712
48,751,710
48,762,720
48,751,705
48,770,721
48,767,715
48,708,698
48,752,718
48,733,710
48,735,708
48,781,723
51,771,725
48,743,713
48,771,718
48,723,703
48,758,721
48,756,721
48,732,705
48,743,715
48,771,720
48,782,730
48,771,723
48,750,718
48,755,712
51,738,718
48,739,709
48,739,702
48,753,719
48,734,708
48,717,699
48,741,713
48,766,717
48,769,724
48,757,718
48,718,693
48,755,711
48,734,708
48,760,715
48,752,707
48,733,697
48,732,717
48,779,721
48,770,718
48,726,699
48,776,719
50,787,720
48,763,716
48,741,715
48,751,706
48,729,701
48,754,711
48,751,717
48,751,734
48,722,702
48,758,717
48,752,716
48,724,699
48,788,728
48,764,713
48,717,704
48,729,704
48,734,711
48,768,716
48,735,700
48,777,706
48,768,733
48,741,718
48,738,710
48,717,699
48,729,710
48,745,702
48,737,707
48,720,712
49,729,701
48,756,726
48,735,704
48,771,727
49,763,714
48,744,707
51,717,702
48,756,721
48,727,703
48,742,720
52,764,710
48,745,702
48,737,715
48,797,721
48,796,718
48,753,715
48,762,709
48,762,721
48,779,718
48,753,710
48,749,704
48,725,702
50,795,734
48,752,716
48,748,706
48,742,711
48,775,723
48,759,722
48,725,717
48,754,710
48,759,710
53,741,715
48,745,714
48,779,722
48,723,700
48,739,715
48,740,706
48,769,715
48,716,701
48,744,711
48,716,700
48,721,700
48,742,712
48,736,707
48,775,718
48,758,728
48,761,715
48,758,730
48,757,721
48,756,712
48,759,717
48,711,698
48,765,708
48,743,718
48,721,703
48,742,714
48,724,692
48,785,742
50,774,726
48,755,719
48,739,714
48,765,715
48,775,716
48,736,709
48,743,714
48,750,721
48,741,718
48,746,733
48,756,729
48,769,712
48,751,709
48,771,713
48,718,700
48,761,709
51,751,711
48,740,707
50,777,731
48,728,707
48,743,709
48,732,709
48,724,699
48,771,714
48,743,705
48,750,714
48,738,708
48,722,703
48,744,704
48,743,704
48,773,716
48,758,723
48,744,707
48,795,742
48,719,699
48,741,718
48,726,703
48,796,715
48,719,700
49,730,715
48,766,714
48,732,708
48,790,721
48,758,717
50,736,710
48,794,724
48,732,704
48,766,731
48,736,716
48,725,699
48,747,721
48,729,716
48,771,730
48,760,723
48,726,701
48,735,707
48,733,703
48,754,714
48,726,710
48,755,716
48,740,705
48,767,724
48,717,705
48,768,719
48,769,707
48,749,717
48,762,727
48,745,710
48,731,714
50,795,731
48,740,705
48,753,719
50,743,710
50,726,706
48,786,740
48,747,710
48,735,702
48,759,712
48,744,713
48,724,711
48,754,713
48,774,711
48,754,711
48,754,720
48,737,719
48,748,706
48,723,706
48,726,704
48,735,707
48,733,708
48,744,714
48,717,709
48,726,700
48,732,708
48,749,718
48,745,714
48,735,706
48,732,715
48,747,710
48,751,713
48,746,712
48,717,709
48,728,702
48,747,717
48,728,702
48,765,723
48,755,722
48,744,714
48,756,714
48,740,710
49,773,727
48,763,716
48,774,717
48,752,722
48,725,698
48,785,713
48,732,712
48,785,725
48,730,699
48,767,716
48,738,704
48,735,706
48,742,705
48,761,718
50,727,700
50,729,709
48,753,726
48,756,724
48,754,731
48,743,710
48,733,711
48,752,719
48,733,723
48,729,706
48,745,713
48,733,711
48,748,710
48,720,699
51,778,720
48,767,712
48,769,720
48,765,721
48,795,728
48,748,721
48,742,717
48,722,699
